service_request_id,service_name,title,description,requested_datetime,status
49546-2025,Denkmal beschädigt,#49546-2025 Denkmal beschädigt,"Die Beleuchtung des Gedenksteins ist seit längerem ausgefallen, siehe Bild.
Außerdem ist die deneben stehende Bank beschädigt.",2025-02-25T09:11:14+01:00,open
49982-2025,Leuchte ausgefallen,#49982-2025 Straßenbeleuchtung ausgefallen,"in der Wilhelm-Hale Strasse  Höhe 44 a  sind die Lampen Nummer 16 und 18 und 20 ausgefallen.
Montag 03.03.2025     3:30 Uhr",2025-03-03T06:11:30+01:00,open
50059-2025,Leuchte beschädigt,#50059-2025 Straßenbeleuchtung beschädigt,"Mast Nr. 20
Leuchte fehlt komplett",2025-03-04T12:43:01+01:00,open
50436-2025,Leuchte ausgefallen,#50436-2025 Straßenbeleuchtung ausgefallen,Leuchte Nr. 9 von Westen kommend auf Marienklausensteg defekt,2025-03-10T20:25:57+01:00,open
50437-2025,Leuchte ausgefallen,#50437-2025 Straßenbeleuchtung ausgefallen,Leuchte Nr. 4 von Osten kommend auf Marienklausensteg defekt,2025-03-10T20:27:41+01:00,open
50486-2025,Geh- und Radweg verschmutzt,#50486-2025 Geh- und Radweg verschmutzt,"Es liegt seit einem Monat auf dem Boden
Bitte nehmen sie  danke",2025-03-11T15:43:49+01:00,open
50860-2025,Grünstreifen verschmutzt,#50860-2025 Grünstreifen verschmutzt,Stehen gelassenes Wahlplakat von Volt - abhängfrist ist bereits abgelaufen. Vor Eingang Wirtsgarten Haderner Augustiner - Stadteinwärts. ,2025-03-18T11:46:38+01:00,open
50881-2025,Geh- und Radweg verschmutzt,#50881-2025 Geh- und Radweg verschmutzt,Wahlplakat steht schon sehr lange hier ,2025-03-18T15:37:19+01:00,open
51431-2025,Leuchte ausgefallen,#51431-2025 Straßenbeleuchtung ausgefallen,Lampe auf Promenade Riemer Park defekt; Nähe Heinrich-Böll-Str.,2025-03-27T22:40:53+01:00,open
51434-2025,Plakat noch nicht abgebaut,#51434-2025 Plakat noch nicht abgebaut,"Wahlplakate der SPD sind noch nicht abgebaut.
Sie behindern die Sicht nach links beim rausfahren in den Gustav-Heinemann-Ring.",2025-03-28T07:56:11+01:00,open
51499-2025,Grünstreifen verschmutzt,#51499-2025 Grünstreifen verschmutzt,Vergessenes Wahlplakat DIE Basis,2025-03-29T18:44:24+01:00,open
51528-2025,Plakat noch nicht abgebaut,#51528-2025 Plakat noch nicht abgebaut,"Wahlplakat CSU (Bundestagswahl 2025) noch nicht abgehängt.
Direkt im kleinen Park, hinter dem Brunnen ”Die Au”.",2025-03-30T08:25:52+02:00,open
51607-2025,Leuchte ausgefallen,#51607-2025 Straßenbeleuchtung ausgefallen,Ein Deckenlicht in der Unterführung ist defekt,2025-03-31T18:24:01+02:00,open
51794-2025,Brunnen beschädigt,#51794-2025 Brunnen beschädigt,Das Trinkwasser läuft nicht ,2025-04-04T17:55:14+02:00,open
51830-2025,Brunnen beschädigt,#51830-2025 Brunnen beschädigt,"Gußeiserne Abdeckung eines Sickerschachtes direkt am Pumucklbrunnen beschädigt, steht hoch/schief ",2025-04-05T17:57:41+02:00,open
51909-2025,Leuchte ausgefallen,#51909-2025 Leuchte ausgefallen,"Hallo, 
auf dem südlichen Prof.-Huber Platz stehen fünf Straßenlampen im Viertelkreis. Die vierte Lampe von rechts ist ausgefallen. Auf der Lampe war keine Markierung in der Dunkelheit erkennbar. 
VG",2025-04-07T06:22:20+02:00,closed
52058-2025,Leuchte ausgefallen,#52058-2025 Straßenbeleuchtung ausgefallen,"Der Lampenmast wurde bei den Aufstockungsmassnahmen 2021-2023 (Gernot, Bamberger, Schleissheimerstr) beschädigt. Der Mast Steht noch allerdings fehlt seitdem die Leuchtmittelaufnahme. Der Kreuzungsbereich Bamberger/Gernotstr. ist daher sehr schlecht ausgeleuchtet ",2025-04-10T08:25:56+02:00,open
52191-2025,Leuchte ausgefallen,#52191-2025 Straßenbeleuchtung ausgefallen,Teilweiser Beleuchtungsausfall in der Autounterführung der Laimer-Unterführung.,2025-04-12T12:45:37+02:00,open
52294-2025,Brunnen verschmutzt,#52294-2025 Brunnen verschmutzt,"Der Brunnen ist verschmutzt durch Abfall, Müll, Tauben und Taubenkot, Kleidungsstücke und diverse Obdachlose und vermutlich auch Drogenabhängige und/oder Drogendealer.",2025-04-14T09:53:53+02:00,open
52367-2025,Leuchte ausgefallen,#52367-2025 Leuchte ausgefallen,Edenkobener Weg,2025-04-14T23:42:28+02:00,open
52415-2025,Brunnen beschädigt,#52415-2025 Brunnen beschädigt,"Es kommt kein Wasser aus dem Hahn, wenn man den Knopf drückt.",2025-04-15T16:40:42+02:00,open
52471-2025,Brunnen beschädigt,#52471-2025 Brunnen beschädigt,"Trinkwasserbrunnen am Harras defekt
Datum 16.4.2025. Viele Grüße",2025-04-16T16:36:24+02:00,open
52754-2025,Brunnen verschmutzt,#52754-2025 Brunnen verschmutzt,Im Brunnen Ecke Elisabeth-Dane-Str. liegen mehrere Christbäume. Außerdem sind die Bäume auf der Insel abgestorben.,2025-04-22T10:59:05+02:00,open
54187-2025,Brunnen beschädigt,#54187-2025 Brunnen beschädigt,"Großer Brunnen Bordeauxplatz genau in der Mitte des Platzes vor Haus ""Wörthstr. 27, 81667 München-Haidhausen"") - scheinbar dieses Jahr noch überhaupt kein Betrieb ?????? - In der Presse wurde ""Brunnen-Eröffnung"" für 2025 für ganz München gezeigt (mit der Leitung Baureferat und dem OB von München!)",2025-05-19T10:59:35+02:00,open
54657-2025,Leuchte ausgefallen,#54657-2025 Leuchte ausgefallen,"Vor Monaten wurde die Leuchte abgebaut, das Unterteil gegen Feuchtigkeit gesichert und der Lichtmast liegt jetzt am Straßenrand direkt vor der Baustelle ""Münchner Wohnen"". Der Leuchtkörper selbst(Lampe mit Ausleger) wurde von den Mitarbeitern der Stadt München mitgenommen. ",2025-05-26T12:48:19+02:00,open
